Count_Nuclei,Count_RO_PositiveNuclei,Count_h2AX,Group,FileName_DAPI,FileName_Green,ImageNumber,Math_PercentPositiveNuclei,Mean_Nuclei_Children_RO_PositiveNuclei_Count,Mean_Nuclei_Parent_h2AX,Mean_RO_PositiveNuclei_Location_Center_X,Mean_RO_PositiveNuclei_Location_Center_Y,Mean_RO_PositiveNuclei_Location_Center_Z,Mean_RO_PositiveNuclei_Parent_Nuclei,Mean_h2AX_Children_Nuclei_Count,Mean_h2AX_Intensity_IntegratedIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_IntegratedIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_LowerQuartileIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MADIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MassDisplacement_FilteredMaskedGreen,Mean_h2AX_Intensity_MaxIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_MaxIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MeanIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_MeanIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MedianIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_MinIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_MinIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_StdIntensityEdge_FilteredMaskedGreen,Mean_h2AX_Intensity_StdIntensity_FilteredMaskedGreen,Mean_h2AX_Intensity_UpperQuartileIntensity_FilteredMaskedGreen,Mean_h2AX_Location_CenterMassIntensity_X_FilteredMaskedGreen,Mean_h2AX_Location_CenterMassIntensity_Y_FilteredMaskedGreen,Mean_h2AX_Location_CenterMassIntensity_Z_FilteredMaskedGreen,Mean_h2AX_Location_Center_X,Mean_h2AX_Location_Center_Y,Mean_h2AX_Location_Center_Z,Mean_h2AX_Location_MaxIntensity_X_FilteredMaskedGreen,Mean_h2AX_Location_MaxIntensity_Y_FilteredMaskedGreen,Mean_h2AX_Location_MaxIntensity_Z_FilteredMaskedGreen,Mean_h2AX_Mean_Nuclei_Location_Center_X,Mean_h2AX_Mean_Nuclei_Location_Center_Y,Mean_h2AX_Mean_Nuclei_Location_Center_Z,Mean_h2AX_Mean_Nuclei_Number_Object_Number,Threshold_FinalThreshold_Nuclei,Threshold_FinalThreshold_h2AX,Threshold_OrigThreshold_Nuclei,Threshold_OrigThreshold_h2AX,Threshold_SumOfEntropies_Nuclei,Threshold_SumOfEntropies_h2AX,Threshold_WeightedVariance_Nuclei,Threshold_WeightedVariance_h2AX
15,1,8,PGVG,E21_PGVG_10_DAPI.TIF,E21_PGVG_10_FITC.TIF,1,6.666666667,0.066666667,0.266666667,804.1719577,782.1927438,0,13,0.125,1.010467717,2.083367672,0.060496298,0.018581669,0.07935993,0.094773779,0.140932327,0.064568097,0.078870972,0.075650414,0.035011828,0.035011828,0.016152702,0.026520839,0.097835118,796.2964148,781.0754621,0,796.315922,781.0843906,0,796,781,0,804.1719577,782.1927438,0,13,0.062767096,0.05,0.062767096,0.05,-12.02407504,-12.22873488,0.029052466,2.528066647
31,8,35,PGVG,E21_PGVG_12_DAPI.TIF,E21_PGVG_12_FITC.TIF,3,25.80645161,0.258064516,4.064516129,740.0856812,611.4514774,0,15.125,0.228571429,0.864651152,1.845368548,0.067153645,0.024802451,0.125188039,0.110634012,0.161520676,0.073994387,0.092989599,0.090454606,0.042890933,0.042890933,0.020588744,0.03498244,0.123402325,653.0017927,626.7160795,0,653.0233602,626.7519541,0,652.9142857,626.6,0,740.0856812,611.4514774,0,15.125,0.065329179,0.05,0.065329179,0.05,-12.22771698,-12.569459,0.056243018,2.075829141
23,6,27,PGVG,E21_PGVG_13_DAPI.TIF,E21_PGVG_13_FITC.TIF,4,26.08695652,0.260869565,3.434782609,921.3280888,651.175184,0,15.66666667,0.222222222,0.697954439,1.405389831,0.06514698,0.02029902,0.096099076,0.098991493,0.134392423,0.070123327,0.083770538,0.082311683,0.045978255,0.045978255,0.016520956,0.026536852,0.107429169,880.3920832,691.125606,0,880.3936477,691.136005,0,880.4814815,691.037037,0,921.3280888,651.175184,0,15.66666667,0.053613767,0.05,0.053613767,0.05,-12.4239151,-12.39265794,0.037350639,2.139096487
21,8,57,PGVG,E21_PGVG_2_DAPI.TIF,E21_PGVG_2_FITC.TIF,7,38.0952381,0.380952381,12.52380952,749.8952258,623.4005129,0,12.25,0.140350877,0.889229416,1.973743251,0.063974923,0.026151822,0.118764647,0.108150595,0.156875596,0.070886138,0.089399146,0.088206249,0.039581369,0.039581369,0.020444538,0.033784299,0.116800585,580.316359,610.0220054,0,580.3111611,610.0088829,0,580.122807,610.1403509,0,749.8952258,623.4005129,0,12.25,0.086008549,0.05,0.086008549,0.05,-12.24087738,-12.74461056,0.049459908,2.634115568
20,8,82,PGVG,E21_PGVG_3_DAPI.TIF,E21_PGVG_3_FITC.TIF,8,40,0.4,7.05,658.5048653,631.7605892,0,10,0.097560976,0.846326387,1.818775665,0.065560203,0.020065615,0.117574803,0.099796235,0.145454948,0.070004678,0.085775563,0.083459035,0.043084776,0.043084776,0.016406257,0.028486774,0.108917968,874.732846,838.794305,0,874.7400608,838.7869651,0,874.6829268,838.8414634,0,658.5048653,631.7605892,0,10,0.053875551,0.05,0.053875551,0.05,-12.37591274,-12.39790502,0.032730529,1.683121007
16,8,16,PGVG,E21_PGVG_8_DAPI.TIF,E21_PGVG_8_FITC.TIF,12,50,0.5,4.375,646.5654791,442.0331851,0,9.125,0.5,0.820363167,2.334863041,0.065596627,0.030775541,0.109030555,0.104158085,0.211604487,0.068788732,0.100918599,0.089763106,0.040154114,0.040154114,0.018830514,0.048567675,0.136702717,679.0794841,413.9667848,0,679.0763943,413.9879821,0,679.125,414,0,646.5654791,442.0331851,0,9.125,0.067067988,0.05,0.067067988,0.05,-12.26352129,-12.63942512,0.03916926,1.753287004
44,14,61,PGVG,E22_PGVG_144_DAPI.TIF,E22_PGVG_144_FITC.TIF,14,31.81818182,0.318181818,9.5,685.8892616,443.1291173,0,22.28571429,0.229508197,0.804958932,1.711142711,0.0666369,0.024888216,0.102199389,0.106173773,0.157487116,0.072155263,0.090274308,0.087482224,0.041041266,0.041041266,0.019494702,0.033522919,0.119120178,647.7167786,488.3134933,0,647.7278301,488.296369,0,647.6885246,488.2622951,0,685.8892616,443.1291173,0,22.28571429,0.048643555,0.05,0.048643555,0.05,-12.13100942,-12.48273662,0.065054649,1.676837624
54,12,53,PGVG,E22_PGVG_145_DAPI.TIF,E22_PGVG_145_FITC.TIF,15,22.22222222,0.222222222,4.018518519,661.3136726,315.0892921,0,19.41666667,0.226415094,0.876876665,1.767609685,0.067648715,0.024500235,0.112738866,0.119381978,0.157089613,0.076008497,0.091973462,0.090652984,0.042756354,0.042756354,0.022702418,0.0331131,0.121282159,598.3902167,422.9237704,0,598.3862777,422.9440077,0,598.245283,422.8867925,0,661.3136726,315.0892921,0,19.41666667,0.059919138,0.05,0.059919138,0.05,-12.15938172,-12.45337735,0.07166537,1.828631119
33,5,11,PGVG,E22_PGVG_146_DAPI.TIF,E22_PGVG_146_FITC.TIF,16,15.15151515,0.151515152,1,401.6488566,306.4897256,0,11.6,0.454545455,1.28551435,6.602967139,0.068454746,0.038968765,0.112051368,0.104954328,0.261273285,0.067428583,0.118020771,0.099233582,0.042869528,0.042869528,0.016564572,0.060511356,0.164705883,618.8067045,264.3732081,0,618.8395171,264.3666124,0,618.5454545,264.1818182,0,401.6488566,306.4897256,0,11.6,0.048643555,0.05,0.048643555,0.05,-12.09131127,-12.56606421,0.054746899,0.659319922
39,10,21,PGVG,E22_PGVG_147_DAPI.TIF,E22_PGVG_147_FITC.TIF,17,25.64102564,0.256410256,2.58974359,574.4497437,610.7235258,0,22.3,0.476190476,0.787255077,2.291012788,0.065424873,0.026382121,0.082146736,0.096140556,0.176632625,0.06846219,0.094010272,0.088229117,0.047512234,0.047512234,0.014849717,0.037431537,0.125209722,522.2904661,683.0360372,0,522.2953255,683.0128735,0,522.2857143,683.1904762,0,574.4497437,610.7235258,0,22.3,0.04736001,0.05,0.04736001,0.05,-12.24425023,-12.45339276,0.058356478,1.141122156
