Count_Nuclei,Count_RO_PositiveNuclei,Count_h2AX,FileName_DAPI,FileName_Green,Group,ImageNumber,Math_PercentPositiveNuclei,Experiment
85,20,130,CSE_5B_74_c1.tif,CSE_5B_74_c0.tif,CSE,1,23.52941176,1
76,19,149,CSE_5B_75_c1.tif,CSE_5B_75_c0.tif,CSE,2,25,1
68,17,179,CSE_5B_76_c1.tif,CSE_5B_76_c0.tif,CSE,3,25,1
60,18,146,CSE_5B_77_c1.tif,CSE_5B_77_c0.tif,CSE,4,30,1
74,21,90,CSE_5B_78_c1.tif,CSE_5B_78_c0.tif,CSE,5,28.37837838,1
45,7,39,CSE_5B_79_c1.tif,CSE_5B_79_c0.tif,CSE,6,15.55555556,1
22,4,25,CSE_5B_80_c1.tif,CSE_5B_80_c0.tif,CSE,7,18.18181818,1
114,33,266,CSE_5B_81_c1.tif,CSE_5B_81_c0.tif,CSE,8,28.94736842,1
120,36,286,CSE_5B_82_c1.tif,CSE_5B_82_c0.tif,CSE,9,30,1
79,17,93,CSE_5B_83_c1.tif,CSE_5B_83_c0.tif,CSE,10,21.51898734,1
78,23,158,CSE_5B_84_c1.tif,CSE_5B_84_c0.tif,CSE,11,29.48717949,1
97,31,312,CSE_5C_100_c1.tif,CSE_5C_100_c0.tif,CSE,12,31.95876289,1
47,14,153,CSE_5C_86_c1.tif,CSE_5C_86_c0.tif,CSE,13,29.78723404,1
25,8,140,CSE_5C_87_c1.tif,CSE_5C_87_c0.tif,CSE,14,32,1
77,33,230,CSE_5C_88_c1.tif,CSE_5C_88_c0.tif,CSE,15,42.85714286,1
49,21,108,CSE_5C_89_c1.tif,CSE_5C_89_c0.tif,CSE,16,42.85714286,1
93,39,297,CSE_5C_90_c1.tif,CSE_5C_90_c0.tif,CSE,17,41.93548387,1
53,21,180,CSE_5C_91_c1.tif,CSE_5C_91_c0.tif,CSE,18,39.62264151,1
62,19,214,CSE_5C_92_c1.tif,CSE_5C_92_c0.tif,CSE,19,30.64516129,1
39,21,179,CSE_5C_93_c1.tif,CSE_5C_93_c0.tif,CSE,20,53.84615385,1
44,12,133,CSE_5C_94_c1.tif,CSE_5C_94_c0.tif,CSE,21,27.27272727,1
80,27,240,CSE_5C_95_c1.tif,CSE_5C_95_c0.tif,CSE,22,33.75,1
109,25,147,CSE_5C_96_c1.tif,CSE_5C_96_c0.tif,CSE,23,22.93577982,1
80,19,129,CSE_5C_97_c1.tif,CSE_5C_97_c0.tif,CSE,24,23.75,1
79,17,149,CSE_5C_98_c1.tif,CSE_5C_98_c0.tif,CSE,25,21.51898734,1
64,21,140,CSE_5C_99_c1.tif,CSE_5C_99_c0.tif,CSE,26,32.8125,1
40,11,70,Control_6C_51_c1.tif,Control_6C_51_c0.tif,Control,27,27.5,1
68,21,134,Control_6C_52_c1.tif,Control_6C_52_c0.tif,Control,28,30.88235294,1
55,23,220,Control_6C_53_c1.tif,Control_6C_53_c0.tif,Control,29,41.81818182,1
58,22,149,Control_6C_54_c1.tif,Control_6C_54_c0.tif,Control,30,37.93103448,1
76,16,34,Control_6C_55_c1.tif,Control_6C_55_c0.tif,Control,31,21.05263158,1
89,28,117,Control_6C_56_c1.tif,Control_6C_56_c0.tif,Control,32,31.46067416,1
